date_of_bite,year,month,day_of_month,number_of_bites,precipitation,temperature_max,temperature_min,foggy_or_not,temperature_avg
2016-04-07,2016,4,7,14,0.09,58,48,0,53.0
2016-04-08,2016,4,8,11,0.01,50,40,0,45.0
2016-04-09,2016,4,9,7,0.11,43,36,0,39.5
2016-04-10,2016,4,10,6,0.0,50,31,0,40.5
2016-04-11,2016,4,11,5,0.01,65,43,0,54.0
2016-04-12,2016,4,12,12,0.2,59,45,1,52.0
2016-04-13,2016,4,13,7,0.0,58,40,0,49.0
2016-04-14,2016,4,14,10,0.0,62,43,0,52.5
2016-04-15,2016,4,15,10,0.0,65,42,0,53.5
2016-04-16,2016,4,16,7,0.0,68,43,0,55.5
2016-04-17,2016,4,17,13,0.0,75,44,0,59.5
2016-04-18,2016,4,18,7,0.0,82,51,0,66.5
2016-04-19,2016,4,19,9,0.0,73,55,0,64.0
2016-04-20,2016,4,20,12,0.0,69,49,0,59.0
2016-04-21,2016,4,21,5,0.0,73,49,0,61.0
2016-04-22,2016,4,22,12,0.0,79,62,0,70.5
2016-04-23,2016,4,23,14,0.16,71,54,1,62.5
2016-04-24,2016,4,24,8,0.0,68,47,0,57.5
2016-04-25,2016,4,25,16,0.0,69,50,0,59.5
2016-04-26,2016,4,26,8,0.24,60,47,1,53.5
2016-04-27,2016,4,27,14,0.0,62,46,0,54.0
2016-04-28,2016,4,28,10,0.0,59,48,0,53.5
2016-04-29,2016,4,29,8,0.05,58,45,1,51.5
2016-04-30,2016,4,30,19,0.0,65,46,0,55.5
2016-05-01,2016,5,1,10,0.16,51,45,1,48.0
2016-05-02,2016,5,2,11,0.04,60,45,1,52.5
2016-05-03,2016,5,3,8,0.61,56,51,1,53.5
2016-05-04,2016,5,4,7,0.01,52,48,1,50.0
2016-05-05,2016,5,5,16,0.0,57,46,1,51.5
2016-05-06,2016,5,6,4,0.54,54,48,1,51.0
2016-05-07,2016,5,7,11,0.0,60,48,1,54.0
2016-05-08,2016,5,8,11,0.16,66,49,1,57.5
2016-05-09,2016,5,9,11,0.0,72,52,0,62.0
2016-05-10,2016,5,10,8,0.0,63,50,0,56.5
2016-05-11,2016,5,11,8,0.0,76,50,0,63.0
2016-05-12,2016,5,12,13,0.0,80,56,0,68.0
2016-05-13,2016,5,13,3,0.25,65,57,0,61.0
2016-05-14,2016,5,14,12,0.0,73,56,0,64.5
2016-05-15,2016,5,15,7,0.0,59,46,0,52.5
2016-05-16,2016,5,16,5,0.0,66,43,0,54.5
2016-05-17,2016,5,17,6,0.0,64,52,0,58.0
2016-05-18,2016,5,18,9,0.0,68,52,0,60.0
2016-05-19,2016,5,19,5,0.0,73,54,0,63.5
2016-05-20,2016,5,20,17,0.0,76,53,0,64.5
2016-05-21,2016,5,21,3,0.04,66,54,0,60.0
2016-05-22,2016,5,22,11,0.09,70,52,1,61.0
2016-05-23,2016,5,23,15,0.02,78,56,0,67.0
2016-05-24,2016,5,24,12,0.18,73,58,1,65.5
2016-05-25,2016,5,25,13,0.0,88,61,0,74.5
2016-05-26,2016,5,26,8,0.0,90,69,0,79.5
2016-05-27,2016,5,27,9,0.0,87,73,0,80.0
2016-05-28,2016,5,28,13,0.0,92,71,0,81.5
2016-05-29,2016,5,29,20,0.0,87,70,1,78.5
2016-05-30,2016,5,30,11,1.65,82,68,1,75.0
2016-05-31,2016,5,31,6,0.0,85,71,1,78.0
2016-06-01,2016,6,1,11,0.0,83,66,0,74.5
2016-06-02,2016,6,2,8,0.0,78,62,0,70.0
2016-06-03,2016,6,3,4,0.04,70,63,1,66.5
2016-06-04,2016,6,4,9,0.4,83,66,1,74.5
2016-06-05,2016,6,5,9,0.91,71,65,1,68.0
2016-06-06,2016,6,6,4,0.0,83,65,1,74.0
2016-06-07,2016,6,7,4,0.0,85,64,0,74.5
2016-06-08,2016,6,8,6,0.45,67,52,1,59.5
2016-06-09,2016,6,9,5,0.0,71,54,0,62.5
2016-06-10,2016,6,10,12,0.0,77,57,0,67.0
2016-06-11,2016,6,11,9,0.0,88,59,0,73.5
2016-06-12,2016,6,12,9,0.0,83,62,0,72.5
2016-06-13,2016,6,13,10,0.0,74,57,0,65.5
2016-06-14,2016,6,14,5,0.0,79,58,0,68.5
2016-06-15,2016,6,15,8,0.0,85,62,0,73.5
2016-06-16,2016,6,16,7,0.22,74,65,1,69.5
2016-06-17,2016,6,17,7,0.0,78,63,0,70.5
2016-06-18,2016,6,18,11,0.0,87,61,0,74.0
2016-06-19,2016,6,19,9,0.0,88,66,0,77.0
2016-06-20,2016,6,20,13,0.0,84,64,0,74.0
2016-06-21,2016,6,21,16,0.0,87,72,0,79.5
2016-06-22,2016,6,22,19,0.0,86,68,0,77.0
2016-06-23,2016,6,23,15,0.0,83,69,0,76.0
2016-06-24,2016,6,24,6,0.0,84,67,0,75.5
2016-06-25,2016,6,25,13,0.0,86,64,0,75.0
2016-06-26,2016,6,26,6,0.0,87,67,0,77.0
2016-06-27,2016,6,27,5,0.45,83,67,1,75.0
2016-06-28,2016,6,28,5,0.12,76,68,1,72.0
2016-06-29,2016,6,29,9,0.01,83,67,1,75.0
2016-06-30,2016,6,30,6,0.0,85,67,0,76.0
2016-07-01,2016,7,1,17,0.83,79,66,1,72.5
2016-07-02,2016,7,2,13,0.0,76,63,1,69.5
2016-07-03,2016,7,3,9,0.0,78,64,0,71.0
2016-07-04,2016,7,4,14,0.49,84,66,1,75.0
2016-07-05,2016,7,5,4,0.66,86,69,1,77.5
2016-07-06,2016,7,6,7,0.0,91,75,0,83.0
2016-07-07,2016,7,7,9,0.04,89,77,1,83.0
2016-07-08,2016,7,8,7,0.08,86,67,1,76.5
2016-07-09,2016,7,9,5,0.53,72,65,1,68.5
2016-07-10,2016,7,10,10,0.0,80,66,1,73.0
2016-07-11,2016,7,11,9,0.0,81,65,0,73.0
2016-07-12,2016,7,12,7,0.0,82,68,0,75.0
2016-07-13,2016,7,13,7,0.0,85,71,0,78.0
2016-07-14,2016,7,14,8,0.62,88,73,1,80.5
2016-07-15,2016,7,15,8,0.0,88,79,0,83.5
2016-07-16,2016,7,16,13,0.0,90,75,0,82.5
2016-07-17,2016,7,17,8,0.0,89,75,0,82.0
2016-07-18,2016,7,18,5,0.35,93,72,1,82.5
2016-07-19,2016,7,19,10,0.0,83,73,0,78.0
2016-07-20,2016,7,20,8,0.0,85,68,0,76.5
2016-07-21,2016,7,21,5,0.0,90,71,0,80.5
2016-07-22,2016,7,22,13,0.0,94,74,0,84.0
2016-07-23,2016,7,23,10,0.0,96,80,0,88.0
2016-07-24,2016,7,24,5,0.0,94,75,0,84.5
2016-07-25,2016,7,25,9,1.0,93,73,1,83.0
2016-07-26,2016,7,26,3,0.0,89,72,1,80.5
2016-07-27,2016,7,27,17,0.0,91,74,0,82.5
2016-07-28,2016,7,28,12,0.0,95,75,1,85.0
2016-07-29,2016,7,29,8,1.09,85,69,1,77.0
2016-07-30,2016,7,30,15,0.25,84,73,1,78.5
2016-07-31,2016,7,31,6,1.08,78,71,1,74.5
2016-08-01,2016,8,1,10,0.0,80,69,1,74.5
2016-08-02,2016,8,2,11,0.0,79,68,0,73.5
2016-08-03,2016,8,3,10,0.0,80,66,0,73.0
2016-08-04,2016,8,4,16,0.0,81,67,0,74.0
2016-08-05,2016,8,5,12,0.0,83,69,0,76.0
2016-08-06,2016,8,6,14,0.05,87,72,1,79.5
2016-08-07,2016,8,7,12,0.0,86,70,0,78.0
2016-08-08,2016,8,8,16,0.0,86,71,0,78.5
2016-08-09,2016,8,9,7,0.0,87,71,0,79.0
2016-08-10,2016,8,10,5,0.09,86,75,1,80.5
2016-08-11,2016,8,11,7,0.15,91,74,1,82.5
2016-08-12,2016,8,12,7,0.32,93,73,1,83.0
2016-08-13,2016,8,13,8,0.0,96,81,0,88.5
2016-08-14,2016,8,14,11,0.06,94,78,1,86.0
2016-08-15,2016,8,15,9,0.0,92,77,0,84.5
2016-08-16,2016,8,16,10,0.11,87,78,1,82.5
2016-08-17,2016,8,17,9,0.01,85,77,0,81.0
2016-08-18,2016,8,18,6,0.03,85,72,1,78.5
2016-08-19,2016,8,19,8,0.01,88,74,1,81.0
2016-08-20,2016,8,20,12,0.82,83,70,1,76.5
2016-08-21,2016,8,21,9,0.31,86,73,1,79.5
2016-08-22,2016,8,22,8,0.0,79,65,0,72.0
2016-08-23,2016,8,23,11,0.0,82,61,0,71.5
2016-08-24,2016,8,24,11,0.0,88,68,0,78.0
2016-08-25,2016,8,25,9,0.01,86,69,0,77.5
2016-08-26,2016,8,26,6,0.0,90,75,0,82.5
2016-08-27,2016,8,27,12,0.0,89,73,0,81.0
2016-08-28,2016,8,28,16,0.0,89,72,0,80.5
2016-08-29,2016,8,29,8,0.0,91,74,0,82.5
2016-08-30,2016,8,30,12,0.0,86,69,0,77.5
2016-08-31,2016,8,31,5,0.0,89,74,0,81.5
2016-09-01,2016,9,1,6,0.5,79,69,1,74.0
2016-09-02,2016,9,2,10,0.0,81,66,0,73.5
2016-09-03,2016,9,3,9,0.0,75,66,0,70.5
2016-09-04,2016,9,4,8,0.0,80,65,0,72.5
2016-09-05,2016,9,5,13,0.0,84,65,0,74.5
2016-09-06,2016,9,6,13,0.0,80,71,1,75.5
2016-09-07,2016,9,7,15,0.0,85,71,1,78.0
2016-09-08,2016,9,8,10,0.0,89,71,1,80.0
2016-09-09,2016,9,9,10,0.22,91,75,1,83.0
2016-09-10,2016,9,10,12,0.0,90,74,1,82.0
2016-09-11,2016,9,11,16,0.0,83,67,0,75.0
2016-09-12,2016,9,12,7,0.0,78,62,0,70.0
2016-09-13,2016,9,13,10,0.0,83,64,0,73.5
2016-09-14,2016,9,14,10,0.56,91,67,1,79.0
2016-09-15,2016,9,15,6,0.0,74,61,0,67.5
2016-09-16,2016,9,16,10,0.0,73,61,0,67.0
2016-09-17,2016,9,17,9,0.0,77,59,0,68.0
2016-09-18,2016,9,18,11,0.0,82,70,0,76.0
2016-09-19,2016,9,19,5,0.68,76,69,1,72.5
2016-09-20,2016,9,20,6,0.0,82,68,1,75.0
2016-09-21,2016,9,21,3,0.0,84,68,1,76.0
2016-09-22,2016,9,22,8,0.0,86,65,0,75.5
2016-09-23,2016,9,23,8,0.01,87,64,1,75.5
2016-09-24,2016,9,24,10,0.2,71,58,1,64.5
2016-09-25,2016,9,25,13,0.0,70,54,0,62.0
2016-09-26,2016,9,26,6,0.0,74,54,0,64.0
2016-09-27,2016,9,27,10,0.22,74,64,1,69.0
2016-09-28,2016,9,28,8,0.0,69,56,1,62.5
2016-09-29,2016,9,29,10,0.0,64,57,1,60.5
2016-09-30,2016,9,30,7,0.4,59,56,1,57.5
2016-10-01,2016,10,1,9,0.0,62,56,1,59.0
2016-10-02,2016,10,2,6,0.0,63,57,1,60.0
2016-10-03,2016,10,3,11,0.0,72,60,1,66.0
2016-10-04,2016,10,4,7,0.0,69,60,0,64.5
2016-10-05,2016,10,5,4,0.0,67,53,0,60.0
2016-10-06,2016,10,6,9,0.0,73,55,1,64.0
2016-10-07,2016,10,7,8,0.0,75,57,1,66.0
2016-10-08,2016,10,8,8,0.23,68,58,1,63.0
2016-10-09,2016,10,9,10,0.55,65,51,1,58.0
2016-10-10,2016,10,10,10,0.0,64,47,0,55.5
2016-10-11,2016,10,11,4,0.0,63,46,0,54.5
2016-10-12,2016,10,12,12,0.0,66,53,0,59.5
2016-10-13,2016,10,13,7,0.0,67,53,1,60.0
2016-10-14,2016,10,14,6,0.0,62,47,0,54.5
2016-10-15,2016,10,15,8,0.0,65,45,0,55.0
2016-10-16,2016,10,16,7,0.0,69,53,0,61.0
2016-10-17,2016,10,17,6,0.0,81,63,0,72.0
2016-10-18,2016,10,18,11,0.0,81,67,0,74.0
2016-10-19,2016,10,19,10,0.0,85,65,0,75.0
2016-10-20,2016,10,20,11,0.0,70,62,1,66.0
2016-10-21,2016,10,21,5,1.11,69,57,1,63.0
2016-10-22,2016,10,22,5,0.29,57,47,1,52.0
2016-10-23,2016,10,23,7,0.0,61,45,0,53.0
2016-10-24,2016,10,24,10,0.0,62,47,0,54.5
2016-10-25,2016,10,25,9,0.0,52,43,0,47.5
2016-10-26,2016,10,26,7,0.0,51,38,0,44.5
2016-10-27,2016,10,27,5,1.41,55,40,1,47.5
2016-10-28,2016,10,28,7,0.0,51,42,1,46.5
2016-10-29,2016,10,29,11,0.0,64,39,0,51.5
2016-10-30,2016,10,30,6,0.56,76,54,1,65.0
2016-10-31,2016,10,31,4,0.0,54,44,0,49.0
2016-11-01,2016,11,1,11,0.0,58,40,0,49.0
2016-11-02,2016,11,2,6,0.0,70,54,0,62.0
2016-11-03,2016,11,3,10,0.0,72,57,0,64.5
2016-11-04,2016,11,4,6,0.0,61,47,0,54.0
2016-11-05,2016,11,5,12,0.0,62,44,0,53.0
2016-11-06,2016,11,6,12,0.0,59,45,0,52.0
2016-11-07,2016,11,7,3,0.0,53,41,0,47.0
2016-11-08,2016,11,8,9,0.0,66,41,0,53.5
2016-11-09,2016,11,9,3,0.06,59,49,1,54.0
2016-11-10,2016,11,10,10,0.0,56,40,0,48.0
2016-11-11,2016,11,11,8,0.0,63,41,0,52.0
2016-11-12,2016,11,12,6,0.0,50,37,0,43.5
2016-11-13,2016,11,13,3,0.0,61,41,0,51.0
2016-11-14,2016,11,14,5,0.0,62,46,0,54.0
2016-11-15,2016,11,15,5,1.81,56,47,1,51.5
2016-11-16,2016,11,16,11,0.0,61,45,0,53.0
2016-11-17,2016,11,17,6,0.0,61,49,0,55.0
2016-11-18,2016,11,18,10,0.0,64,44,0,54.0
2016-11-19,2016,11,19,9,0.25,63,37,1,50.0
2016-11-20,2016,11,20,3,0.31,42,34,1,38.0
2016-11-21,2016,11,21,7,0.0,41,36,0,38.5
2016-11-22,2016,11,22,7,0.0,41,37,0,39.0
2016-11-23,2016,11,23,3,0.0,45,35,0,40.0
2016-11-24,2016,11,24,9,0.03,48,38,1,43.0
2016-11-25,2016,11,25,9,0.02,54,45,1,49.5
2016-11-26,2016,11,26,9,0.0,50,40,1,45.0
2016-11-27,2016,11,27,12,0.0,50,39,0,44.5
2016-11-28,2016,11,28,11,0.0,52,38,0,45.0
2016-11-29,2016,11,29,6,2.2,60,51,1,55.5
2016-11-30,2016,11,30,6,0.73,58,50,1,54.0
2016-12-01,2016,12,1,7,0.07,54,42,1,48.0
2016-12-02,2016,12,2,8,0.0,51,40,0,45.5
2016-12-03,2016,12,3,9,0.0,47,41,0,44.0
2016-12-04,2016,12,4,5,0.0,47,39,0,43.0
2016-12-05,2016,12,5,5,0.19,49,38,1,43.5
2016-12-06,2016,12,6,8,0.35,46,37,1,41.5
2016-12-07,2016,12,7,2,0.09,46,40,1,43.0
2016-12-08,2016,12,8,5,0.0,45,35,0,40.0
2016-12-09,2016,12,9,5,0.0,39,29,0,34.0
2016-12-10,2016,12,10,7,0.0,35,28,0,31.5
2016-12-11,2016,12,11,2,0.03,35,28,1,31.5
2016-12-12,2016,12,12,6,0.5,46,34,1,40.0
2016-12-13,2016,12,13,3,0.0,43,35,0,39.0
2016-12-14,2016,12,14,7,0.0,42,34,0,38.0
2016-12-15,2016,12,15,6,0.0,34,19,0,26.5
2016-12-16,2016,12,16,3,0.0,27,17,0,22.0
2016-12-17,2016,12,17,5,0.73,39,24,1,31.5
2016-12-18,2016,12,18,7,0.04,58,31,1,44.5
2016-12-19,2016,12,19,6,0.0,31,23,0,27.0
2016-12-20,2016,12,20,6,0.0,33,20,0,26.5
2016-12-21,2016,12,21,10,0.0,40,30,0,35.0
2016-12-22,2016,12,22,9,0.0,49,37,0,43.0
2016-12-23,2016,12,23,13,0.0,47,38,0,42.5
2016-12-24,2016,12,24,8,0.47,47,38,1,42.5
2016-12-25,2016,12,25,13,0.0,50,36,0,43.0
2016-12-26,2016,12,26,8,0.02,50,33,1,41.5
2016-12-27,2016,12,27,7,0.0,60,40,1,50.0
2016-12-28,2016,12,28,7,0.0,40,34,0,37.0
2016-12-29,2016,12,29,6,0.39,46,33,1,39.5
2016-12-30,2016,12,30,8,0.01,40,33,1,36.5
2016-12-31,2016,12,31,7,0.0,44,31,0,37.5
2017-01-01,2017,1,1,10,0.0,48,40,0,44.0
2017-01-02,2017,1,2,8,0.21,41,37,1,39.0
2017-01-03,2017,1,3,4,0.58,43,39,1,41.0
2017-01-04,2017,1,4,7,0.0,52,34,1,43.0
2017-01-05,2017,1,5,2,0.0,34,27,0,30.5
2017-01-06,2017,1,6,5,0.05,33,25,1,29.0
2017-01-07,2017,1,7,3,0.32,26,20,1,23.0
2017-01-08,2017,1,8,4,0.0,25,16,0,20.5
2017-01-09,2017,1,9,5,0.0,23,14,0,18.5
2017-01-10,2017,1,10,7,0.0,46,21,0,33.5
2017-01-11,2017,1,11,5,0.52,52,42,1,47.0
2017-01-12,2017,1,12,10,0.05,66,47,1,56.5
2017-01-13,2017,1,13,9,0.0,62,32,0,47.0
2017-01-14,2017,1,14,10,0.12,34,28,1,31.0
2017-01-15,2017,1,15,12,0.0,38,30,0,34.0
2017-01-16,2017,1,16,10,0.0,43,30,0,36.5
2017-01-17,2017,1,17,4,0.35,42,38,1,40.0
2017-01-18,2017,1,18,7,0.06,41,38,1,39.5
2017-01-19,2017,1,19,6,0.0,49,39,0,44.0
2017-01-20,2017,1,20,4,0.1,45,40,1,42.5
2017-01-21,2017,1,21,7,0.0,49,41,1,45.0
2017-01-22,2017,1,22,5,0.05,48,43,1,45.5
2017-01-23,2017,1,23,7,1.16,44,36,1,40.0
2017-01-24,2017,1,24,4,1.18,38,35,1,36.5
2017-01-25,2017,1,25,15,0.0,51,36,0,43.5
2017-01-26,2017,1,26,4,0.02,56,43,0,49.5
2017-01-27,2017,1,27,3,0.0,43,36,0,39.5
2017-01-28,2017,1,28,9,0.0,39,34,0,36.5
2017-01-29,2017,1,29,2,0.0,43,35,0,39.0
2017-01-30,2017,1,30,7,0.0,37,30,0,33.5
2017-01-31,2017,1,31,10,0.06,34,26,1,30.0
2017-02-01,2017,2,1,9,0.0,47,33,0,40.0
2017-02-02,2017,2,2,6,0.0,45,32,0,38.5
2017-02-03,2017,2,3,5,0.0,33,26,0,29.5
2017-02-04,2017,2,4,10,0.0,34,22,0,28.0
2017-02-05,2017,2,5,5,0.0,43,31,0,37.0
2017-02-06,2017,2,6,14,0.0,49,36,0,42.5
2017-02-07,2017,2,7,11,0.27,42,36,1,39.0
2017-02-08,2017,2,8,11,0.03,62,38,1,50.0
2017-02-09,2017,2,9,6,1.16,44,19,1,31.5
2017-02-10,2017,2,10,4,0.0,32,19,0,25.5
2017-02-11,2017,2,11,7,0.0,48,30,0,39.0
2017-02-12,2017,2,12,10,0.46,40,30,1,35.0
2017-02-13,2017,2,13,6,0.02,39,31,1,35.0
2017-02-14,2017,2,14,5,0.0,41,28,0,34.5
2017-02-15,2017,2,15,6,0.0,47,35,0,41.0
2017-02-16,2017,2,16,7,0.0,35,28,0,31.5
2017-02-17,2017,2,17,8,0.0,41,26,0,33.5
2017-02-18,2017,2,18,11,0.0,63,35,0,49.0
2017-02-19,2017,2,19,7,0.0,65,53,0,59.0
2017-02-20,2017,2,20,11,0.0,55,39,0,47.0
2017-02-21,2017,2,21,6,0.0,47,34,0,40.5
2017-02-22,2017,2,22,4,0.0,57,42,0,49.5
2017-02-23,2017,2,23,11,0.0,65,44,1,54.5
2017-02-24,2017,2,24,9,0.0,70,58,0,64.0
2017-02-25,2017,2,25,16,0.54,63,44,1,53.5
2017-02-26,2017,2,26,4,0.0,44,36,0,40.0
2017-02-27,2017,2,27,10,0.0,54,35,0,44.5
2017-02-28,2017,2,28,8,0.0,59,47,0,53.0
2017-03-01,2017,3,1,6,0.12,70,54,1,62.0
2017-03-02,2017,3,2,4,0.0,64,35,0,49.5
2017-03-03,2017,3,3,6,0.0,39,24,0,31.5
2017-03-04,2017,3,4,11,0.0,30,17,0,23.5
2017-03-05,2017,3,5,8,0.0,37,14,0,25.5
2017-03-06,2017,3,6,6,0.0,45,26,0,35.5
2017-03-07,2017,3,7,4,0.1,56,42,1,49.0
2017-03-08,2017,3,8,7,0.02,59,47,1,53.0
2017-03-09,2017,3,9,12,0.0,61,47,0,54.0
2017-03-10,2017,3,10,5,0.31,47,23,1,35.0
2017-03-11,2017,3,11,6,0.0,29,17,0,23.0
2017-03-12,2017,3,12,13,0.0,29,19,0,24.0
2017-03-13,2017,3,13,7,0.0,36,20,0,28.0
2017-03-14,2017,3,14,2,1.97,32,21,1,26.5
2017-03-15,2017,3,15,6,0.0,26,20,0,23.0
2017-03-16,2017,3,16,7,0.0,39,24,0,31.5
2017-03-17,2017,3,17,9,0.0,47,29,0,38.0
2017-03-18,2017,3,18,11,0.08,39,34,1,36.5
2017-03-19,2017,3,19,13,0.0,47,34,0,40.5
2017-03-20,2017,3,20,11,0.0,52,33,0,42.5
2017-03-21,2017,3,21,12,0.0,59,42,0,50.5
2017-03-22,2017,3,22,10,0.0,50,24,0,37.0
2017-03-23,2017,3,23,8,0.0,42,23,0,32.5
2017-03-24,2017,3,24,12,0.0,57,36,0,46.5
2017-03-25,2017,3,25,7,0.01,62,42,1,52.0
2017-03-26,2017,3,26,6,0.14,42,37,1,39.5
2017-03-27,2017,3,27,8,0.26,53,37,1,45.0
2017-03-28,2017,3,28,2,0.72,46,41,1,43.5
2017-03-29,2017,3,29,3,0.0,60,42,1,51.0
2017-03-30,2017,3,30,12,0.01,52,38,0,45.0
2017-03-31,2017,3,31,8,1.51,43,37,1,40.0
2017-04-01,2017,4,1,4,0.0,48,37,1,42.5
2017-04-02,2017,4,2,8,0.0,63,40,0,51.5
2017-04-03,2017,4,3,10,0.03,63,48,0,55.5
2017-04-04,2017,4,4,8,1.18,51,45,1,48.0
2017-04-05,2017,4,5,7,0.0,65,45,1,55.0
2017-04-06,2017,4,6,6,0.73,53,40,1,46.5
2017-04-07,2017,4,7,5,0.0,51,40,0,45.5
2017-04-08,2017,4,8,9,0.0,57,40,0,48.5
2017-04-09,2017,4,9,13,0.0,67,45,0,56.0
2017-04-10,2017,4,10,13,0.0,74,53,0,63.5
2017-04-11,2017,4,11,9,0.0,80,61,0,70.5
2017-04-12,2017,4,12,10,0.02,76,58,0,67.0
2017-04-13,2017,4,13,9,0.0,65,48,0,56.5
2017-04-14,2017,4,14,9,0.0,66,48,0,57.0
2017-04-15,2017,4,15,12,0.0,65,51,0,58.0
2017-04-16,2017,4,16,11,0.0,87,59,0,73.0
2017-04-17,2017,4,17,12,0.0,74,58,0,66.0
2017-04-18,2017,4,18,6,0.0,65,47,0,56.0
2017-04-19,2017,4,19,5,0.0,54,45,0,49.5
2017-04-20,2017,4,20,18,0.17,66,50,1,58.0
2017-04-21,2017,4,21,10,0.29,53,48,1,50.5
2017-04-22,2017,4,22,8,0.11,57,49,1,53.0
2017-04-23,2017,4,23,12,0.0,66,46,0,56.0
2017-04-24,2017,4,24,6,0.0,60,48,0,54.0
2017-04-25,2017,4,25,10,0.91,54,49,1,51.5
2017-04-26,2017,4,26,3,0.34,60,53,1,56.5
2017-04-27,2017,4,27,5,0.0,70,57,1,63.5
2017-04-28,2017,4,28,8,0.0,85,58,1,71.5
2017-04-29,2017,4,29,15,0.06,85,64,1,74.5
2017-04-30,2017,4,30,13,0.0,67,52,0,59.5
2017-05-01,2017,5,1,5,0.0,74,49,1,61.5
2017-05-02,2017,5,2,10,0.0,75,62,1,68.5
2017-05-03,2017,5,3,8,0.0,65,51,0,58.0
2017-05-04,2017,5,4,6,0.0,64,47,0,55.5
2017-05-05,2017,5,5,9,3.02,59,51,1,55.0
2017-05-06,2017,5,6,14,0.18,67,52,1,59.5
2017-05-07,2017,5,7,6,0.01,56,47,0,51.5
2017-05-08,2017,5,8,12,0.0,57,44,0,50.5
2017-05-09,2017,5,9,8,0.0,63,47,0,55.0
2017-05-10,2017,5,10,8,0.0,63,49,0,56.0
2017-05-11,2017,5,11,13,0.0,62,51,0,56.5
2017-05-12,2017,5,12,9,0.0,65,48,0,56.5
2017-05-13,2017,5,13,10,1.61,53,45,1,49.0
2017-05-14,2017,5,14,5,0.02,67,46,0,56.5
2017-05-15,2017,5,15,9,0.0,68,53,0,60.5
2017-05-16,2017,5,16,7,0.0,79,56,0,67.5
2017-05-17,2017,5,17,9,0.0,90,65,0,77.5
2017-05-18,2017,5,18,11,0.0,92,75,0,83.5
2017-05-19,2017,5,19,9,0.0,91,66,0,78.5
2017-05-20,2017,5,20,14,0.01,65,55,0,60.0
2017-05-21,2017,5,21,12,0.0,69,52,0,60.5
2017-05-22,2017,5,22,10,0.59,61,53,1,57.0
2017-05-23,2017,5,23,9,0.0,69,56,1,62.5
2017-05-24,2017,5,24,17,0.04,69,56,1,62.5
2017-05-25,2017,5,25,11,0.58,59,56,1,57.5
2017-05-26,2017,5,26,4,0.1,73,56,1,64.5
2017-05-27,2017,5,27,15,0.0,71,59,0,65.0
2017-05-28,2017,5,28,13,0.0,71,58,1,64.5
2017-05-29,2017,5,29,6,0.13,61,56,1,58.5
2017-05-30,2017,5,30,8,0.06,60,55,1,57.5
2017-05-31,2017,5,31,10,0.03,75,58,1,66.5
2017-06-01,2017,6,1,13,0.0,79,59,0,69.0
2017-06-02,2017,6,2,12,0.01,76,57,0,66.5
2017-06-03,2017,6,3,18,0.01,73,55,0,64.0
2017-06-04,2017,6,4,13,0.09,70,56,1,63.0
2017-06-05,2017,6,5,8,0.02,67,58,1,62.5
2017-06-06,2017,6,6,10,0.06,58,52,1,55.0
2017-06-07,2017,6,7,9,0.0,67,51,0,59.0
2017-06-08,2017,6,8,13,0.0,69,55,0,62.0
2017-06-09,2017,6,9,10,0.0,80,53,0,66.5
2017-06-10,2017,6,10,7,0.0,85,66,0,75.5
2017-06-11,2017,6,11,16,0.0,90,72,0,81.0
2017-06-12,2017,6,12,11,0.0,93,76,0,84.5
2017-06-13,2017,6,13,10,0.0,94,77,0,85.5
2017-06-14,2017,6,14,15,0.29,84,69,1,76.5
2017-06-15,2017,6,15,9,0.0,76,64,0,70.0
2017-06-16,2017,6,16,17,0.0,68,63,1,65.5
2017-06-17,2017,6,17,7,1.39,74,66,1,70.0
2017-06-18,2017,6,18,15,0.0,85,70,1,77.5
2017-06-19,2017,6,19,7,1.35,88,70,1,79.0
2017-06-20,2017,6,20,11,0.03,83,71,1,77.0
2017-06-21,2017,6,21,10,0.0,83,71,0,77.0
2017-06-22,2017,6,22,14,0.0,83,68,0,75.5
2017-06-23,2017,6,23,8,0.04,83,76,1,79.5
2017-06-24,2017,6,24,13,1.29,84,71,1,77.5
2017-06-25,2017,6,25,12,0.0,83,68,0,75.5
2017-06-26,2017,6,26,18,0.0,79,64,0,71.5
2017-06-27,2017,6,27,11,0.18,77,60,1,68.5
2017-06-28,2017,6,28,16,0.0,78,61,0,69.5
2017-06-29,2017,6,29,15,0.0,82,68,0,75.0
2017-06-30,2017,6,30,3,0.0,88,73,0,80.5
2017-07-01,2017,7,1,15,0.23,85,71,1,78.0
2017-07-02,2017,7,2,14,0.0,87,72,1,79.5
2017-07-03,2017,7,3,10,0.45,88,71,1,79.5
2017-07-04,2017,7,4,9,0.0,85,70,0,77.5
2017-07-05,2017,7,5,10,0.0,85,70,0,77.5
2017-07-06,2017,7,6,8,0.0,77,71,0,74.0
2017-07-07,2017,7,7,12,1.78,80,68,1,74.0
2017-07-08,2017,7,8,11,0.0,84,69,1,76.5
2017-07-09,2017,7,9,14,0.0,81,67,0,74.0
2017-07-10,2017,7,10,10,0.0,84,68,0,76.0
2017-07-11,2017,7,11,17,0.0,85,75,0,80.0
2017-07-12,2017,7,12,13,0.0,88,77,0,82.5
2017-07-13,2017,7,13,8,0.0,90,73,0,81.5
2017-07-14,2017,7,14,9,0.35,73,65,1,69.0
